Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
3,أنشطة الخدمات الشخصية الأخرى,897,165,57,108,2003,1834,169,2168,2022-7
4,التخزين وأنشطة الدعم للنقل,567,106,56,50,1986,1981,5,2092,2022-10
4,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,275,44,15,29,2039,2036,3,2083,2022-10
1,أنشطة الخدمات الشخصية الأخرى,746,149,57,92,1857,1719,138,2006,2022-1
3,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,797,58,31,27,1688,1683,5,1746,2022-7
1,التخزين وأنشطة الدعم للنقل,460,120,70,50,1593,1589,4,1713,2022-1
4,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,764,55,32,23,1612,1607,5,1667,2022-10
2,صيد الأسماك وتربية المائيات,702,87,48,39,1502,1498,4,1589,2022-4
2,صُنع الملبوسات,435,101,38,63,1165,1086,79,1266,2022-4
1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,558,40,28,12,1225,1222,3,1265,2022-1
1,صُنع الملبوسات,401,82,31,51,1149,1067,82,1231,2022-1
2,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,515,48,36,12,1154,1151,3,1202,2022-4
4,صُنع الملبوسات,438,80,21,59,1114,1045,69,1194,2022-10
3,صُنع الملبوسات,434,72,18,54,1105,1030,75,1177,2022-7
3,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),361,97,49,48,999,998,1,1096,2022-7
4,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),364,68,32,36,1000,999,1,1068,2022-10
2,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),313,79,42,37,973,972,1,1052,2022-4
4,التعليم,107,602,232,370,424,410,14,1026,2022-10
1,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),300,59,28,31,954,952,2,1013,2022-1
3,التعليم,106,525,216,309,428,415,13,953,2022-7
1,التعليم,92,476,217,259,470,457,13,946,2022-1
1,الإقامة,113,253,107,146,666,661,5,919,2022-1
4,صنع الأثاث,131,117,36,81,798,798,0,915,2022-10
2,الإقامة,118,237,96,141,672,666,6,909,2022-4
3,صنع الأثاث,135,96,26,70,805,805,0,901,2022-7
2,التعليم,94,440,198,242,448,438,10,888,2022-4
3,صنع الفلزات القاعدية,48,242,224,18,577,576,1,819,2022-7
2,صنع الفلزات القاعدية,61,230,213,17,588,587,1,818,2022-4
4,صنع الفلزات القاعدية,45,245,226,19,552,552,0,797,2022-10
1,صنع الفلزات القاعدية,57,215,200,15,542,542,0,757,2022-1
2,صنع الأثاث,133,58,24,34,664,664,0,722,2022-4
3,الإقامة,131,178,79,99,523,516,7,701,2022-7
4,صُنع المنتجات الغذائية,193,74,36,38,601,598,3,675,2022-10
3,صُنع المنتجات الغذائية,189,71,32,39,586,584,2,657,2022-7
2,صُنع المنتجات الغذائية,176,74,38,36,571,569,2,645,2022-4
4,الإقامة,128,155,65,90,480,473,7,635,2022-10
1,صنع الأثاث,128,58,21,37,560,560,0,618,2022-1
1,صُنع المنتجات الغذائية,158,67,31,36,540,538,2,607,2022-1
4,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,170,101,65,36,506,504,2,607,2022-10
3,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,165,109,79,30,494,493,1,603,2022-7
2,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,153,107,81,26,465,465,0,572,2022-4
1,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,142,118,85,33,419,419,0,537,2022-1
3,تجميع المياه ومعالجتها وتوصيلها,32,146,119,27,376,373,3,522,2022-7
2,تجميع المياه ومعالجتها وتوصيلها,32,161,132,29,360,357,3,521,2022-4
4,تجميع المياه ومعالجتها وتوصيلها,32,139,106,33,359,356,3,498,2022-10
3,صنع منتجات المطاط واللدائن,16,83,34,49,342,342,0,425,2022-7
4,صنع منتجات المطاط واللدائن,16,75,32,43,339,339,0,414,2022-10
1,تجميع المياه ومعالجتها وتوصيلها,28,75,67,8,319,316,3,394,2022-1
1,أنشطة الأمن والتحقيقات,3,347,312,35,3,3,0,350,2022-1
4,صُنع المواد الكيميائية والمنتجات الكيميائية,19,62,31,31,285,285,0,347,2022-10
1,صيد الأسماك وتربية المائيات,177,18,5,13,319,318,1,337,2022-1
3,صُنع المواد الكيميائية والمنتجات الكيميائية,18,59,30,29,272,272,0,331,2022-7
2,صنع منتجات المطاط واللدائن,14,83,35,48,234,234,0,317,2022-4
4,صُنع المشروبات,9,109,75,34,207,207,0,316,2022-10
3,صُنع المشروبات,9,105,72,33,206,206,0,311,2022-7
2,أنشطة الأمن والتحقيقات,3,305,276,29,3,3,0,308,2022-4
3,أنشطة الأمن والتحقيقات,2,303,274,29,2,2,0,305,2022-7
2,صُنع المشروبات,10,111,76,35,194,193,1,305,2022-4
4,الأنشطة الرياضية وأنشطة التسلية والترفيه,55,88,48,40,215,203,12,303,2022-10
2,أبحاث الإعلان والسوق,44,52,24,28,233,233,0,285,2022-4
3,الأنشطة الرياضية وأنشطة التسلية والترفيه,51,92,47,45,191,181,10,283,2022-7
2,الأنشطة الرياضية وأنشطة التسلية والترفيه,44,92,51,41,190,179,11,282,2022-4
1,أبحاث الإعلان والسوق,43,56,27,29,221,221,0,277,2022-1
1,صُنع المشروبات,10,95,71,24,173,172,1,268,2022-1
4,أنشطة الأمن والتحقيقات,3,260,231,29,4,4,0,264,2022-10
3,أبحاث الإعلان والسوق,49,46,17,29,215,215,0,261,2022-7
1,الأنشطة الرياضية وأنشطة التسلية والترفيه,39,62,36,26,181,170,11,243,2022-1
4,أبحاث الإعلان والسوق,51,39,14,25,201,199,2,240,2022-10
4,أنشطة العمل الاجتماعي، دون إقامة,44,127,60,67,113,110,3,240,2022-10
4,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,105,37,16,21,197,196,1,234,2022-10
3,أنشطة العمل الاجتماعي، دون إقامة,43,118,61,57,111,110,1,229,2022-7
4,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,87,11,4,7,218,218,0,229,2022-10
2,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,85,13,6,7,213,213,0,226,2022-4
