Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
1,صُنع المنتجات الجلدية والمنتجات ذات الصلة,3,1,0,1,6,6,0,7,2022-1
3,أنشطة البرمجة والإذاعة,2,2,1,1,5,5,0,7,2022-7
4,صُنع المنتجات الجلدية والمنتجات ذات الصلة,3,1,0,1,5,5,0,6,2022-10
4,النقل الجوي,2,0,0,0,6,6,0,6,2022-10
1,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,5,5,0,5,2022-1
4,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,2,0,0,0,5,5,0,5,2022-10
2,الصرف الصحي,2,0,0,0,5,5,0,5,2022-4
1,أنشطة البرمجة والإذاعة,1,1,1,0,4,4,0,5,2022-1
2,أنشطة البرمجة والإذاعة,2,2,1,1,3,3,0,5,2022-4
4,أنشطة البرمجة والإذاعة,2,2,1,1,3,3,0,5,2022-10
4,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,3,0,0,0,5,5,0,5,2022-10
1,الصرف الصحي,2,0,0,0,5,5,0,5,2022-1
4,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,5,5,0,5,2022-10
3,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,3,0,0,0,5,5,0,5,2022-7
2,الأنشطة الإبداعية والفنون وأنشطة الترفيه,3,1,1,0,4,4,0,5,2022-4
4,تعدين الفحم والليغنيت,1,0,0,0,4,4,0,4,2022-10
3,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,2,0,0,0,4,4,0,4,2022-7
3,تعدين الفحم والليغنيت,1,0,0,0,4,4,0,4,2022-7
2,تعدين الفحم والليغنيت,1,0,0,0,4,4,0,4,2022-4
3,الصرف الصحي,3,0,0,0,4,4,0,4,2022-7
4,الصرف الصحي,3,0,0,0,4,4,0,4,2022-10
3,صُنع المنتجات الجلدية والمنتجات ذات الصلة,3,0,0,0,4,4,0,4,2022-7
1,تعدين الفحم والليغنيت,1,0,0,0,4,4,0,4,2022-1
3,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,3,3,0,3,2022-7
1,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,1,0,0,0,2,2,0,2,2022-1
4,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,1,0,1,1,1,0,2,2022-10
2,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,2,0,0,0,2,2,0,2,2022-4
4,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1,1,0,1,2022-10
1,أنشطة خدمات دعم التعدين,1,1,1,0,0,0,0,1,2022-1
2,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1,1,0,1,2022-4
3,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,1,0,1,0,0,0,1,2022-7
1,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,1,0,0,0,1,1,0,1,2022-1
3,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1,1,0,1,2022-7
2,أنشطة خدمات المعلومات,1,0,0,0,1,1,0,1,2022-4
3,أنشطة خدمات دعم التعدين,1,1,1,0,0,0,0,1,2022-7
3,أنشطة خدمات المعلومات,1,0,0,0,1,1,0,1,2022-7
1,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1,1,0,1,2022-1
4,أنشطة خدمات المعلومات,1,0,0,0,1,1,0,1,2022-10
2,أنشطة خدمات دعم التعدين,1,1,1,0,0,0,0,1,2022-4
4,أنشطة خدمات دعم التعدين,1,1,1,0,0,0,0,1,2022-10
4,تشييد المباني,3252,2510,1176,1334,17467,17399,68,19977,2023-10
1,تشييد المباني,3153,2453,1315,1138,17475,17424,51,19928,2023-1
3,تشييد المباني,3097,2492,1186,1306,16960,16898,62,19452,2023-7
2,تشييد المباني,3096,2375,1122,1253,16828,16774,54,19203,2023-4
4,غير معرف,5907,511,255,256,15096,15003,93,15607,2023-10
3,غير معرف,5870,496,241,255,14636,14559,77,15132,2023-7
1,أنشطة تقديم الخدمات للمباني وتجميل المواقع,231,1724,948,776,9068,8994,74,10792,2023-1
4,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,3142,1579,725,854,9058,8984,74,10637,2023-10
1,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,2995,1710,772,938,8917,8854,63,10627,2023-1
2,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,2990,1680,790,890,8816,8732,84,10496,2023-4
3,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,3042,1583,745,838,8628,8554,74,10211,2023-7
2,أنشطة تقديم الخدمات للمباني وتجميل المواقع,228,1428,839,589,8746,8682,64,10174,2023-4
3,أنشطة تقديم الخدمات للمباني وتجميل المواقع,220,1479,863,616,8236,8171,65,9715,2023-7
4,أنشطة تقديم الخدمات للمباني وتجميل المواقع,218,1514,895,619,8179,8110,69,9693,2023-10
4,أنشطة التشييد المتخصصة,1165,809,515,294,8482,8462,20,9291,2023-10
3,أنشطة التشييد المتخصصة,1164,776,513,263,8122,8101,21,8898,2023-7
2,أنشطة التشييد المتخصصة,1175,783,516,267,7591,7574,17,8374,2023-4
1,أنشطة التشييد المتخصصة,1193,781,513,268,7453,7440,13,8234,2023-1
1,أنشطة خدمات الأطعمة والمشروبات,1849,1042,404,638,7118,7079,39,8160,2023-1
2,غير معرف,3496,292,138,154,7712,7656,56,8004,2023-4
2,أنشطة خدمات الأطعمة والمشروبات,1828,964,358,606,6808,6772,36,7772,2023-4
1,غير معرف,3352,298,154,144,7324,7281,43,7622,2023-1
3,أنشطة خدمات الأطعمة والمشروبات,1817,985,382,603,6568,6533,35,7553,2023-7
4,أنشطة خدمات الأطعمة والمشروبات,1847,876,344,532,6611,6568,43,7487,2023-10
2,صيد الأسماك وتربية المائيات,2274,153,72,81,6665,6655,10,6818,2023-4
1,صيد الأسماك وتربية المائيات,2217,152,71,81,6505,6491,14,6657,2023-1
2,الهندسة المدنية,102,1226,862,364,4809,4805,4,6035,2023-4
1,الهندسة المدنية,97,1081,722,359,4552,4549,3,5633,2023-1
3,الهندسة المدنية,92,1147,820,327,4445,4442,3,5592,2023-7
4,النقل البري و النقل عبر الأنابيب,1255,426,237,189,4573,4565,8,4999,2023-10
3,النقل البري و النقل عبر الأنابيب,1155,435,246,189,4272,4265,7,4707,2023-7
2,النقل البري و النقل عبر الأنابيب,1113,415,229,186,4107,4101,6,4522,2023-4
1,النقل البري و النقل عبر الأنابيب,1103,388,198,190,4102,4095,7,4490,2023-1
1,صنع منتجات المعادن اللافلزية الأخرى,138,972,663,309,2937,2931,6,3909,2023-1
2,صنع منتجات المعادن اللافلزية الأخرى,134,981,648,333,2766,2758,8,3747,2023-4
1,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,1014,403,235,168,3287,3279,8,3690,2023-1
3,صنع منتجات المعادن اللافلزية الأخرى,135,1002,677,325,2670,2662,8,3672,2023-7
3,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,1025,432,253,179,3198,3189,9,3630,2023-7
2,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,1017,390,230,160,3201,3193,8,3591,2023-4
4,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,1058,364,226,138,3154,3141,13,3518,2023-10
4,صنع منتجات المعادن اللافلزية الأخرى,136,972,670,302,2492,2490,2,3464,2023-10
1,الأنشطة الإيجارية,1274,102,54,48,3334,3318,16,3436,2023-1
2,الأنشطة الإيجارية,1260,90,46,44,3273,3258,15,3363,2023-4
1,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,739,661,372,289,2697,2676,21,3358,2023-1
3,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,746,677,334,343,2648,2623,25,3325,2023-7
2,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,737,715,370,345,2608,2584,24,3323,2023-4
3,الأنشطة الإيجارية,1227,93,44,49,3153,3140,13,3246,2023-7
4,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,775,620,312,308,2610,2584,26,3230,2023-10
4,الأنشطة الإيجارية,1192,90,41,49,3068,3054,14,3158,2023-10
4,الهندسة المدنية,97,559,334,225,2362,2358,4,2921,2023-10
1,الصحة البشرية,109,822,399,423,1912,1118,794,2734,2023-1
4,الصحة البشرية,106,828,396,432,1832,1026,806,2660,2023-10
2,الصحة البشرية,101,802,395,407,1813,1040,773,2615,2023-4
3,الصحة البشرية,104,797,392,405,1814,1024,790,2611,2023-7
4,الصرف الصحي,9,457,334,123,2036,2036,0,2493,2023-10
4,أنشطة الخدمات الشخصية الأخرى,1006,136,37,99,2290,2100,190,2426,2023-10
2,أنشطة الخدمات الشخصية الأخرى,972,157,42,115,2239,2045,194,2396,2023-4
3,أنشطة الخدمات الشخصية الأخرى,972,139,35,104,2234,2044,190,2373,2023-7
1,أنشطة الخدمات الشخصية الأخرى,958,123,34,89,2221,2037,184,2344,2023-1
1,التخزين وأنشطة الدعم للنقل,553,99,46,53,1796,1791,5,1895,2023-1
2,التخزين وأنشطة الدعم للنقل,541,99,48,51,1653,1648,5,1752,2023-4
1,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,261,27,10,17,1698,1695,3,1725,2023-1
4,التخزين وأنشطة الدعم للنقل,598,98,52,46,1626,1619,7,1724,2023-10
3,التخزين وأنشطة الدعم للنقل,530,76,37,39,1500,1494,6,1576,2023-7
4,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,638,188,110,78,1386,1378,8,1574,2023-10
2,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,255,17,7,10,1478,1475,3,1495,2023-4
1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,724,44,24,20,1446,1440,6,1490,2023-1
3,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,661,70,35,35,1380,1375,5,1450,2023-7
2,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,681,45,21,24,1344,1339,5,1389,2023-4
3,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,245,18,9,9,1303,1300,3,1321,2023-7
1,صُنع الملبوسات,438,81,23,58,1139,1069,70,1220,2023-1
4,الأنشطة الأخرى للتعدين واستغلال المحاجر,34,197,66,131,1023,1016,7,1220,2023-10
2,صُنع الملبوسات,432,92,17,75,1127,1060,67,1219,2023-4
4,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,239,14,7,7,1189,1186,3,1203,2023-10
3,صُنع الملبوسات,419,81,22,59,1093,1032,61,1174,2023-7
4,صُنع الملبوسات,428,59,16,43,1099,1046,53,1158,2023-10
3,التعليم,127,609,242,367,492,478,14,1101,2023-7
1,التعليم,120,634,241,393,461,448,13,1095,2023-1
4,التعليم,141,514,167,347,545,522,23,1059,2023-10
1,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),358,54,21,33,984,982,2,1038,2023-1
2,التعليم,121,553,237,316,485,472,13,1038,2023-4
3,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),351,68,29,39,960,960,0,1028,2023-7
2,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),358,63,24,39,965,963,2,1028,2023-4
4,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),359,63,27,36,958,957,1,1021,2023-10
2,صنع الأثاث,125,133,36,97,742,742,0,875,2023-4
3,الأنشطة الأخرى للتعدين واستغلال المحاجر,29,159,53,106,716,715,1,875,2023-7
1,صنع الأثاث,127,130,38,92,730,730,0,860,2023-1
4,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,202,136,88,48,706,704,2,842,2023-10
3,صنع الأثاث,123,148,33,115,684,684,0,832,2023-7
4,صنع الفلزات القاعدية,34,276,244,32,533,531,2,809,2023-10
3,صنع الفلزات القاعدية,35,277,247,30,531,531,0,808,2023-7
1,صنع الفلزات القاعدية,41,260,235,25,546,546,0,806,2023-1
4,صنع الأثاث,129,129,25,104,671,671,0,800,2023-10
2,صنع الفلزات القاعدية,36,266,240,26,527,527,0,793,2023-4
4,صُنع المنتجات الغذائية,209,100,49,51,665,661,4,765,2023-10
3,صُنع المنتجات الغذائية,201,86,35,51,637,634,3,723,2023-7
3,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,177,137,93,44,581,579,2,718,2023-7
2,صُنع المنتجات الغذائية,201,73,35,38,624,621,3,697,2023-4
1,صُنع المنتجات الغذائية,197,69,29,40,601,598,3,670,2023-1
4,صنع منتجات المطاط واللدائن,25,132,44,88,479,479,0,611,2023-10
4,تجميع المياه ومعالجتها وتوصيلها,39,90,34,56,508,507,1,598,2023-10
1,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,170,97,57,40,501,499,2,598,2023-1
2,تجميع المياه ومعالجتها وتوصيلها,35,89,59,30,507,504,3,596,2023-4
1,الإقامة,128,147,66,81,442,436,6,589,2023-1
2,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,172,92,52,40,485,483,2,577,2023-4
3,تجميع المياه ومعالجتها وتوصيلها,36,77,46,31,495,492,3,572,2023-7
2,الإقامة,130,139,60,79,433,426,7,572,2023-4
3,الإقامة,131,127,53,74,419,416,3,546,2023-7
4,توصيل الكهرباء والغاز والبخار وتكييف الهواء,10,185,177,8,361,360,1,546,2023-10
4,الإقامة,130,129,59,70,413,410,3,542,2023-10
4,إصلاح وتركيب الآلات والمعدات,83,112,66,46,408,405,3,520,2023-10
3,صنع منتجات المطاط واللدائن,23,121,40,81,388,388,0,509,2023-7
3,صُنع المشروبات,9,141,101,40,326,326,0,467,2023-7
1,تجميع المياه ومعالجتها وتوصيلها,33,114,86,28,353,350,3,467,2023-1
4,صُنع المشروبات,9,138,94,44,327,327,0,465,2023-10
2,صُنع المشروبات,9,132,98,34,331,331,0,463,2023-4
1,صُنع المشروبات,9,132,100,32,328,328,0,460,2023-1
2,الأنشطة الأخرى للتعدين واستغلال المحاجر,27,72,33,39,388,387,1,460,2023-4
2,صنع منتجات المطاط واللدائن,18,100,29,71,341,341,0,441,2023-4
4,أنشطة الاستخدام,67,49,20,29,376,115,261,425,2023-10
1,صنع منتجات المطاط واللدائن,17,76,31,45,343,343,0,419,2023-1
2,أنشطة الاستخدام,65,45,16,29,373,124,249,418,2023-4
3,أنشطة الاستخدام,68,51,22,29,352,120,232,403,2023-7
4,أنشطة العمل الاجتماعي، دون إقامة,56,250,99,151,143,129,14,393,2023-10
1,أنشطة الاستخدام,60,45,17,28,336,119,217,381,2023-1
2,صُنع المواد الكيميائية والمنتجات الكيميائية,18,81,35,46,297,297,0,378,2023-4
4,أنشطة الأمن والتحقيقات,2,368,311,57,2,2,0,370,2023-10
3,أنشطة الأمن والتحقيقات,2,362,306,56,1,1,0,363,2023-7
1,صُنع المواد الكيميائية والمنتجات الكيميائية,18,80,39,41,282,282,0,362,2023-1
2,إصلاح وتركيب الآلات والمعدات,62,49,35,14,276,275,1,325,2023-4
3,صُنع المواد الكيميائية والمنتجات الكيميائية,18,77,29,48,246,246,0,323,2023-7
3,إصلاح وتركيب الآلات والمعدات,69,45,34,11,268,267,1,313,2023-7
4,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,18,47,18,29,263,263,0,310,2023-10
3,أنشطة العمل الاجتماعي، دون إقامة,53,191,76,115,113,107,6,304,2023-7
2,الأنشطة الرياضية وأنشطة التسلية والترفيه,60,97,51,46,206,196,10,303,2023-4
1,الأنشطة الرياضية وأنشطة التسلية والترفيه,57,90,51,39,204,194,10,294,2023-1
4,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,127,20,8,12,262,261,1,282,2023-10
4,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,92,19,7,12,260,260,0,279,2023-10
2,أنشطة الأمن والتحقيقات,3,269,236,33,5,5,0,274,2023-4
1,إصلاح وتركيب الآلات والمعدات,62,38,23,15,235,234,1,273,2023-1
3,الأنشطة الرياضية وأنشطة التسلية والترفيه,58,85,37,48,184,175,9,269,2023-7
3,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,94,17,6,11,250,250,0,267,2023-7
2,أنشطة العمل الاجتماعي، دون إقامة,48,151,65,86,116,110,6,267,2023-4
1,أنشطة العمل الاجتماعي، دون إقامة,47,137,62,75,115,110,5,252,2023-1
4,الأنشطة الرياضية وأنشطة التسلية والترفيه,49,81,35,46,165,157,8,246,2023-10
1,أنشطة الأمن والتحقيقات,3,237,209,28,5,5,0,242,2023-1
3,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,117,20,10,10,222,219,3,242,2023-7
1,أبحاث الإعلان والسوق,54,44,19,25,192,190,2,236,2023-1
3,الأنشطة العقارية,84,47,24,23,184,183,1,231,2023-7
2,أبحاث الإعلان والسوق,57,43,19,24,186,184,2,229,2023-4
1,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,107,31,14,17,198,198,0,229,2023-1
2,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,109,22,9,13,206,206,0,228,2023-4
3,أبحاث الإعلان والسوق,57,51,22,29,177,175,2,228,2023-7
4,صُنع المواد الكيميائية والمنتجات الكيميائية,16,42,13,29,183,183,0,225,2023-10
4,الأنشطة العقارية,87,33,13,20,192,191,1,225,2023-10
2,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,88,11,3,8,213,213,0,224,2023-4
1,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,88,11,4,7,212,212,0,223,2023-1
1,الأنشطة العقارية,73,40,22,18,181,180,1,221,2023-1
4,أبحاث الإعلان والسوق,55,44,13,31,167,165,2,211,2023-10
2,الأنشطة العقارية,72,40,19,21,168,167,1,208,2023-4
1,الأنشطة الأخرى للتعدين واستغلال المحاجر,23,33,20,13,166,165,1,199,2023-1
1,صُنع المنسوجات,54,8,3,5,150,142,8,158,2023-1
2,صُنع المنسوجات,53,4,1,3,146,138,8,150,2023-4
3,صُنع المنسوجات,55,6,4,2,137,133,4,143,2023-7
4,صُنع المنسوجات,55,4,2,2,136,134,2,140,2023-10
3,أنشطة المنظمات ذات العضوية,35,78,63,15,57,56,1,135,2023-7
3,الصرف الصحي,6,11,3,8,123,123,0,134,2023-7
3,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,17,14,3,11,119,119,0,133,2023-7
4,أنشطة المنظمات ذات العضوية,36,69,60,9,61,60,1,130,2023-10
4,الأنشطة القانونية وأنشطة المحاسبة,46,37,26,11,92,90,2,129,2023-10
2,أنشطة المنظمات ذات العضوية,32,74,60,14,54,53,1,128,2023-4
1,صناعة الآلات والمعدات غير المصنفة في موضع أخر,12,1,0,1,123,123,0,124,2023-1
3,الأنشطة القانونية وأنشطة المحاسبة,44,32,23,9,91,90,1,123,2023-7
1,الأنشطة القانونية وأنشطة المحاسبة,40,23,15,8,98,97,1,121,2023-1
2,صناعة الآلات والمعدات غير المصنفة في موضع أخر,12,0,0,0,120,120,0,120,2023-4
1,أنشطة المنظمات ذات العضوية,32,72,59,13,47,46,1,119,2023-1
2,الأنشطة القانونية وأنشطة المحاسبة,42,28,18,10,90,89,1,118,2023-4
3,صناعة الآلات والمعدات غير المصنفة في موضع أخر,10,0,0,0,108,108,0,108,2023-7
4,صناعة الآلات والمعدات غير المصنفة في موضع أخر,11,0,0,0,107,107,0,107,2023-10
3,صُنع الورق ومنتجات الورق,23,13,8,5,81,81,0,94,2023-7
1,صُنع الورق ومنتجات الورق,22,8,4,4,83,83,0,91,2023-1
4,صُنع الورق ومنتجات الورق,22,13,9,4,77,77,0,90,2023-10
2,صُنع الورق ومنتجات الورق,22,7,3,4,76,76,0,83,2023-4
4,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,6,4,0,4,73,73,0,77,2023-10
4,صيد الأسماك وتربية المائيات,23,2,2,0,72,72,0,74,2023-10
1,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,19,15,8,7,57,57,0,72,2023-1
1,الأنشطة المهنية والعلمية والتقنية الأخرى,31,1,0,1,69,65,4,70,2023-1
2,الأنشطة المهنية والعلمية والتقنية الأخرى,30,1,1,0,64,62,2,65,2023-4
1,أنشطة النشر,3,0,0,0,63,63,0,63,2023-1
3,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,16,16,8,8,46,46,0,62,2023-7
3,الأنشطة المهنية والعلمية والتقنية الأخرى,27,4,2,2,57,55,2,61,2023-7
2,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,16,11,6,5,48,48,0,59,2023-4
4,الأنشطة المهنية والعلمية والتقنية الأخرى,27,2,1,1,57,55,2,59,2023-10
4,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,16,15,7,8,43,43,0,58,2023-10
2,أنشطة النشر,2,0,0,0,56,56,0,56,2023-4
3,أنشطة النشر,3,1,1,0,54,54,0,55,2023-7
3,صيد الأسماك وتربية المائيات,16,2,1,1,53,53,0,55,2023-7
4,أنشطة النشر,3,1,1,0,52,52,0,53,2023-10
1,صنع المعدات الكهربائية,9,7,3,4,45,45,0,52,2023-1
2,صنع المعدات الكهربائية,9,6,2,4,44,44,0,50,2023-4
1,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,13,4,0,4,45,45,0,49,2023-1
1,الطباعة واستنساخ وسائط الأعلام المسجّلة,10,10,6,4,38,38,0,48,2023-1
3,صنع المعدات الكهربائية,9,6,3,3,42,42,0,48,2023-7
2,الطباعة واستنساخ وسائط الأعلام المسجّلة,10,12,6,6,36,36,0,48,2023-4
2,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,13,5,1,4,43,43,0,48,2023-4
4,صنع المعدات الكهربائية,8,4,1,3,44,44,0,48,2023-10
3,الرعاية مع الإقامة,1,39,11,28,7,3,4,46,2023-7
1,الصناعة التحويلية الأخرى,7,15,8,7,27,23,4,42,2023-1
3,الصناعة التحويلية الأخرى,9,14,7,7,27,24,3,41,2023-7
2,الصناعة التحويلية الأخرى,7,16,8,8,24,21,3,40,2023-4
4,الصناعة التحويلية الأخرى,9,12,7,5,27,24,3,39,2023-10
1,الاتصالات,12,1,1,0,36,36,0,37,2023-1
3,استخراج النفط الخام والغاز الطبيعي,6,7,7,0,28,27,1,35,2023-7
4,استخراج النفط الخام والغاز الطبيعي,6,8,7,1,26,25,1,34,2023-10
3,توصيل الكهرباء والغاز والبخار وتكييف الهواء,9,3,3,0,31,31,0,34,2023-7
2,الاتصالات,10,2,2,0,30,30,0,32,2023-4
1,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,12,5,1,4,27,27,0,32,2023-1
1,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,3,20,19,1,12,12,0,32,2023-1
1,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,11,7,0,7,25,24,1,32,2023-1
2,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,14,2,1,1,29,29,0,31,2023-4
1,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,4,2,0,2,29,29,0,31,2023-1
2,توصيل الكهرباء والغاز والبخار وتكييف الهواء,8,3,3,0,28,28,0,31,2023-4
3,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,14,2,1,1,29,29,0,31,2023-7
3,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,4,20,19,1,10,10,0,30,2023-7
4,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,14,1,1,0,29,29,0,30,2023-10
3,الطباعة واستنساخ وسائط الأعلام المسجّلة,9,7,2,5,22,22,0,29,2023-7
1,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,15,1,1,0,28,28,0,29,2023-1
4,الطباعة واستنساخ وسائط الأعلام المسجّلة,9,4,1,3,25,25,0,29,2023-10
1,استخراج النفط الخام والغاز الطبيعي,8,5,5,0,24,23,1,29,2023-1
2,استخراج النفط الخام والغاز الطبيعي,8,7,6,1,21,20,1,28,2023-4
4,صنع الحواسيب والمنتجات الإلكترونية والبصرية,8,4,0,4,24,24,0,28,2023-10
4,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,4,18,17,1,9,9,0,27,2023-10
3,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,10,1,0,1,26,25,1,27,2023-7
2,الرعاية مع الإقامة,1,21,9,12,6,2,4,27,2023-4
2,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,10,1,0,1,25,24,1,26,2023-4
4,الاتصالات,11,1,0,1,25,25,0,26,2023-10
2,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,10,4,0,4,21,21,0,25,2023-4
3,الاتصالات,8,2,1,1,23,23,0,25,2023-7
4,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,10,1,0,1,24,23,1,25,2023-10
2,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,3,18,17,1,6,6,0,24,2023-4
1,الرعاية مع الإقامة,1,17,9,8,6,2,4,23,2023-1
1,توصيل الكهرباء والغاز والبخار وتكييف الهواء,8,1,1,0,22,22,0,23,2023-1
3,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,8,5,0,5,18,18,0,23,2023-7
4,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,8,5,0,5,18,18,0,23,2023-10
3,تعدين ركازات الفلزات,5,7,1,6,15,15,0,22,2023-7
3,الأنشطة البيطرية,10,5,0,5,17,17,0,22,2023-7
3,النقل المائي,8,1,0,1,20,20,0,21,2023-7
2,الأنشطة البيطرية,10,3,2,1,17,17,0,20,2023-4
1,الأنشطة البيطرية,11,2,1,1,17,17,0,19,2023-1
4,النقل المائي,8,0,0,0,19,19,0,19,2023-10
3,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,5,7,2,5,12,12,0,19,2023-7
4,الأنشطة البيطرية,9,1,0,1,17,17,0,18,2023-10
2,النقل المائي,7,0,0,0,18,18,0,18,2023-4
2,تعدين ركازات الفلزات,5,0,0,0,17,17,0,17,2023-4
1,تعدين ركازات الفلزات,4,0,0,0,17,17,0,17,2023-1
2,صنع الحواسيب والمنتجات الإلكترونية والبصرية,6,1,0,1,15,15,0,16,2023-4
3,صنع الحواسيب والمنتجات الإلكترونية والبصرية,6,1,0,1,15,15,0,16,2023-7
2,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,8,1,0,1,15,15,0,16,2023-4
