region,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees
منطقة الرياض,الأنشطة المهنية والعلمية والتقنية الأخرى,876,2022,876,1146,2866,2541,325,4888
منطقة مكة المكرمة,أنشطة الأمن والتحقيقات,115,4727,4337,390,155,147,8,4882
منطقة عسير,توصيل الكهرباء والغاز والبخار وتكييف الهواء,41,4287,4250,37,569,569,0,4856
منطقة تبوك,أنشطة الخدمات الشخصية الأخرى,1855,328,148,180,4504,4153,351,4832
منطقة حائل,النقل البري و النقل عبر الأنابيب,1332,292,135,157,4449,4438,11,4741
منطقة حائل,أنشطة التشييد المتخصصة,1369,292,175,117,4434,4391,43,4726
المنطقة الشرقية,صناعة معدات النقل الأخرى,22,3135,2980,155,1557,1555,2,4692
منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,458,2565,1494,1071,2031,1865,166,4596
منطقة جازان,صنع منتجات المعادن اللافلزية الأخرى,254,1228,837,391,3237,3235,2,4465
منطقة القصيم,التعليم,257,2555,913,1642,1789,1461,328,4344
منطقة مكة المكرمة,صُنع المنسوجات,495,974,531,443,3343,3302,41,4317
منطقة الرياض,صنع الحواسيب والمنتجات الإلكترونية والبصرية,180,2350,2174,176,1957,1897,60,4307
منطقة نجران,الهندسة المدنية,99,808,608,200,3404,3399,5,4212
منطقة عسير,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),1235,423,206,217,3780,3774,6,4203
منطقة المدينة المنورة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),787,668,370,298,3506,3496,10,4174
منطقة تبوك,النقل البري و النقل عبر الأنابيب,846,620,323,297,3437,3423,14,4057
منطقة حائل,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,1363,268,183,85,3743,3729,14,4011
منطقة حائل,أنشطة الخدمات الشخصية الأخرى,1431,267,69,198,3679,3230,449,3946
منطقة جازان,النقل البري و النقل عبر الأنابيب,897,496,280,216,3432,3389,43,3928
المنطقة الشرقية,صنع الحواسيب والمنتجات الإلكترونية والبصرية,75,1116,793,323,2807,2802,5,3923
منطقة الجوف,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,1281,382,242,140,3524,3489,35,3906
منطقة عسير,التعليم,235,2206,767,1439,1665,1439,226,3871
منطقة القصيم,إصلاح وتركيب الآلات والمعدات,593,568,396,172,3301,3118,183,3869
منطقة نجران,صنع منتجات المعادن اللافلزية الأخرى,250,1000,683,317,2811,2804,7,3811
منطقة المدينة المنورة,صُنع الملبوسات,1173,378,134,244,3313,3038,275,3691
منطقة المدينة المنورة,الأنشطة الأخرى للتعدين واستغلال المحاجر,118,853,684,169,2804,2802,2,3657
منطقة عسير,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,1050,332,172,160,3290,3280,10,3622
منطقة جازان,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),918,158,96,62,3431,3424,7,3589
المنطقة الشرقية,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,428,1663,891,772,1888,1818,70,3551
منطقة حائل,الصحة البشرية,158,1260,366,894,2280,1093,1187,3540
منطقة نجران,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,1102,348,200,148,3147,3136,11,3495
المنطقة الشرقية,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,70,986,700,286,2487,2484,3,3473
المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,1006,374,249,125,3087,3078,9,3461
منطقة القصيم,الأنشطة الإيجارية,1078,357,259,98,3103,3080,23,3460
منطقة تبوك,التعليم,136,2057,811,1246,1399,1256,143,3456
منطقة المدينة المنورة,التخزين وأنشطة الدعم للنقل,379,1106,800,306,2332,2313,19,3438
منطقة حائل,صُنع المنتجات الغذائية,342,779,257,522,2653,2624,29,3432
منطقة مكة المكرمة,صناعة معدات النقل الأخرى,32,2410,2239,171,958,885,73,3368
منطقة نجران,الأنشطة الأخرى للتعدين واستغلال المحاجر,38,614,293,321,2748,2741,7,3362
المنطقة الشرقية,الأنشطة القانونية وأنشطة المحاسبة,545,2110,1252,858,1244,1194,50,3354
منطقة القصيم,صُنع المشروبات,33,1071,649,422,2270,2266,4,3341
منطقة المدينة المنورة,صنع فحم الكوك والمنتجات النفطية المكررة,14,2307,2183,124,1022,1022,0,3329
منطقة عسير,صُنع المواد الكيميائية والمنتجات الكيميائية,66,928,659,269,2396,2387,9,3324
منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,252,303,248,55,3004,2991,13,3307
المنطقة الشرقية,صُنع المنسوجات,416,629,364,265,2659,2633,26,3288
منطقة الجوف,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,821,630,317,313,2588,2571,17,3218
المنطقة الشرقية,صُنع المشروبات,64,817,454,363,2400,2394,6,3217
منطقة المدينة المنورة,الأنشطة الإيجارية,911,572,452,120,2642,2628,14,3214
منطقة عسير,الأنشطة الإيجارية,1245,363,247,116,2833,2821,12,3196
منطقة مكة المكرمة,صناعة الآلات والمعدات غير المصنفة في موضع أخر,144,884,589,295,2294,2268,26,3178
منطقة حائل,أنشطة تقديم الخدمات للمباني وتجميل المواقع,317,405,227,178,2749,2662,87,3154
منطقة تبوك,صنع منتجات المعادن اللافلزية الأخرى,102,853,617,236,2293,2290,3,3146
منطقة تبوك,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,759,307,217,90,2838,2833,5,3145
منطقة عسير,صُنع الملبوسات,1108,257,101,156,2872,2688,184,3129
منطقة نجران,الأنشطة الإيجارية,1146,77,44,33,3051,3035,16,3128
منطقة نجران,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,822,536,261,275,2557,2533,24,3093
منطقة الرياض,صنع فحم الكوك والمنتجات النفطية المكررة,113,1080,636,444,2009,1993,16,3089
منطقة مكة المكرمة,الطباعة واستنساخ وسائط الأعلام المسجّلة,382,883,452,431,2192,2161,31,3075
المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,169,1233,1043,190,1833,1828,5,3066
منطقة الرياض,صيد الأسماك وتربية المائيات,857,209,139,70,2826,2797,29,3035
منطقة تبوك,الصحة البشرية,111,1194,343,851,1836,983,853,3030
المنطقة الشرقية,الأنشطة الرياضية وأنشطة التسلية والترفيه,501,1039,326,713,1957,1673,284,2996
منطقة القصيم,التخزين وأنشطة الدعم للنقل,389,381,214,167,2525,2514,11,2906
منطقة تبوك,صُنع المنتجات الغذائية,323,578,209,369,2284,2276,8,2862
منطقة المدينة المنورة,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,272,941,552,389,1899,1878,21,2840
منطقة نجران,الصحة البشرية,108,874,404,470,1923,1031,892,2797
منطقة الرياض,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,192,2193,1463,730,577,534,43,2770
منطقة القصيم,صُنع الملبوسات,879,266,142,124,2474,2321,153,2740
منطقة الجوف,النقل البري و النقل عبر الأنابيب,698,289,158,131,2406,2401,5,2695
منطقة جازان,الأنشطة الإيجارية,1018,173,129,44,2512,2498,14,2685
منطقة عسير,الإقامة,538,782,381,401,1897,1865,32,2679
منطقة القصيم,صنع الأثاث,302,455,251,204,2215,2206,9,2670
منطقة الرياض,أنشطة خدمات دعم التعدين,144,1170,837,333,1489,1472,17,2659
منطقة حائل,الأنشطة الإيجارية,871,82,57,25,2575,2560,15,2657
منطقة نجران,التخزين وأنشطة الدعم للنقل,870,147,66,81,2495,2485,10,2642
منطقة نجران,أنشطة الخدمات الشخصية الأخرى,1072,126,34,92,2515,2271,244,2641
منطقة الحدود الشمالية,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,849,248,148,100,2340,2333,7,2588
منطقة الجوف,أنشطة التشييد المتخصصة,773,201,134,67,2374,2361,13,2575
منطقة المدينة المنورة,أنشطة العمل الاجتماعي، دون إقامة,250,1873,786,1087,680,531,149,2553
المنطقة الشرقية,الطباعة واستنساخ وسائط الأعلام المسجّلة,169,915,533,382,1581,1572,9,2496
منطقة جازان,صُنع المنتجات الغذائية,397,457,230,227,2024,2010,14,2481
منطقة عسير,صنع الأثاث,633,270,128,142,2161,2158,3,2431
المنطقة الشرقية,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,218,993,591,402,1420,1365,55,2413
منطقة الباحة,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,833,259,192,67,2139,2134,5,2398
منطقة المدينة المنورة,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,824,251,142,109,2101,2094,7,2352
منطقة الجوف,أنشطة الخدمات الشخصية الأخرى,939,118,53,65,2222,2028,194,2340
منطقة تبوك,الإقامة,189,807,434,373,1512,1369,143,2319
منطقة الحدود الشمالية,أنشطة تقديم الخدمات للمباني وتجميل المواقع,65,428,255,173,1867,1349,518,2295
منطقة الجوف,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,721,200,143,57,2091,2082,9,2291
منطقة حائل,صنع منتجات المعادن اللافلزية الأخرى,215,582,417,165,1705,1702,3,2287
منطقة القصيم,صُنع المواد الكيميائية والمنتجات الكيميائية,62,640,389,251,1606,1604,2,2246
منطقة الباحة,أنشطة التشييد المتخصصة,612,159,93,66,2085,2058,27,2244
منطقة تبوك,صُنع الملبوسات,829,79,28,51,2143,2083,60,2222
منطقة مكة المكرمة,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,398,918,481,437,1277,1190,87,2195
منطقة القصيم,أنشطة العمل الاجتماعي، دون إقامة,230,1544,644,900,651,597,54,2195
منطقة مكة المكرمة,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,136,1692,1080,612,501,479,22,2193
منطقة مكة المكرمة,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,22,1641,831,810,549,473,76,2190
منطقة الرياض,صناعة معدات النقل الأخرى,85,1013,905,108,1169,1164,5,2182
منطقة حائل,الهندسة المدنية,124,355,238,117,1825,1816,9,2180
منطقة نجران,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,670,265,160,105,1879,1869,10,2144
منطقة عسير,التخزين وأنشطة الدعم للنقل,314,429,281,148,1679,1677,2,2108
منطقة مكة المكرمة,الأنشطة المهنية والعلمية والتقنية الأخرى,530,636,284,352,1438,1251,187,2074
منطقة المدينة المنورة,صنع منتجات المطاط واللدائن,86,510,272,238,1558,1541,17,2068
منطقة الحدود الشمالية,أنشطة التشييد المتخصصة,599,148,96,52,1906,1901,5,2054
منطقة القصيم,الأنشطة العقارية,261,541,284,257,1492,1483,9,2033
المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,303,728,304,424,1292,1261,31,2020
منطقة تبوك,أنشطة تقديم الخدمات للمباني وتجميل المواقع,292,290,166,124,1727,1703,24,2017
منطقة مكة المكرمة,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,75,599,377,222,1416,1414,2,2015
منطقة مكة المكرمة,البحث والتطوير في المجال العلمي,64,1635,1526,109,331,315,16,1966
منطقة الجوف,التعليم,102,1078,393,685,777,699,78,1855
منطقة الباحة,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,461,436,259,177,1418,1411,7,1854
المنطقة الشرقية,النقل المائي,81,1067,767,300,786,765,21,1853
منطقة الحدود الشمالية,أنشطة الخدمات الشخصية الأخرى,721,98,29,69,1733,1572,161,1831
منطقة مكة المكرمة,أنشطة المنظمات ذات العضوية,355,909,532,377,910,865,45,1819
منطقة القصيم,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,309,290,131,159,1506,1505,1,1796
منطقة الحدود الشمالية,النقل البري و النقل عبر الأنابيب,409,226,102,124,1562,1560,2,1788
منطقة مكة المكرمة,أنشطة خدمات دعم التعدين,83,501,287,214,1283,1274,9,1784
منطقة جازان,التعليم,147,1136,292,844,645,497,148,1781
منطقة القصيم,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,287,578,372,206,1197,1188,9,1775
منطقة جازان,صُنع الملبوسات,688,130,39,91,1636,1503,133,1766
منطقة مكة المكرمة,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,82,703,421,282,1063,1019,44,1766
منطقة مكة المكرمة,أنشطة خدمات المعلومات,148,830,376,454,917,859,58,1747
منطقة الحدود الشمالية,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,502,248,130,118,1476,1469,7,1724
منطقة تبوك,الهندسة المدنية,146,288,139,149,1434,1429,5,1722
منطقة عسير,أنشطة العمل الاجتماعي، دون إقامة,201,1213,596,617,509,440,69,1722
منطقة الرياض,صُنع المنتجات الجلدية والمنتجات ذات الصلة,118,284,77,207,1433,1414,19,1717
منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,416,305,185,120,1400,1390,10,1705
منطقة عسير,إصلاح وتركيب الآلات والمعدات,346,226,131,95,1470,1467,3,1696
منطقة مكة المكرمة,الاتصالات,273,345,200,145,1350,1311,39,1695
منطقة القصيم,أنشطة الاستخدام,127,166,71,95,1514,323,1191,1680
منطقة المدينة المنورة,الأنشطة العقارية,480,432,262,170,1243,1222,21,1675
منطقة جازان,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,702,100,54,46,1568,1563,5,1668
منطقة حائل,صُنع الملبوسات,473,181,44,137,1472,1385,87,1653
منطقة المدينة المنورة,صُنع المشروبات,41,442,182,260,1192,1189,3,1634
منطقة عسير,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,598,66,39,27,1557,1553,4,1623
منطقة جازان,الهندسة المدنية,154,223,142,81,1373,1370,3,1596
المنطقة الشرقية,صيد الأسماك وتربية المائيات,304,112,43,69,1470,1469,1,1582
منطقة الجوف,صنع منتجات المعادن اللافلزية الأخرى,79,357,217,140,1208,1208,0,1565
منطقة جازان,صنع الأثاث,506,50,28,22,1467,1461,6,1517
المنطقة الشرقية,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,73,1129,600,529,369,337,32,1498
منطقة عسير,الأنشطة الأخرى للتعدين واستغلال المحاجر,88,264,194,70,1231,1230,1,1495
المنطقة الشرقية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,67,1079,783,296,406,394,12,1485
منطقة المدينة المنورة,تجميع المياه ومعالجتها وتوصيلها,98,955,923,32,521,521,0,1476
منطقة حائل,التعليم,203,695,227,468,765,737,28,1460
منطقة جازان,الإقامة,314,382,179,203,1063,1047,16,1445
المنطقة الشرقية,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,13,1127,720,407,317,293,24,1444
منطقة تبوك,الأنشطة الإيجارية,409,212,157,55,1218,1214,4,1430
منطقة تبوك,التخزين وأنشطة الدعم للنقل,196,280,131,149,1138,1134,4,1418
منطقة المدينة المنورة,صنع الفلزات القاعدية,54,466,390,76,935,932,3,1401
منطقة الرياض,النقل الجوي,253,400,266,134,975,962,13,1375
منطقة الباحة,أنشطة تقديم الخدمات للمباني وتجميل المواقع,52,186,84,102,1188,1140,48,1374
منطقة الجوف,الصحة البشرية,85,505,136,369,868,456,412,1373
منطقة القصيم,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,44,177,111,66,1182,1157,25,1359
منطقة القصيم,صنع منتجات المطاط واللدائن,66,358,174,184,1000,999,1,1358
منطقة القصيم,تجميع المياه ومعالجتها وتوصيلها,166,207,131,76,1122,1075,47,1329
منطقة عسير,أنشطة الأمن والتحقيقات,17,1309,1241,68,9,9,0,1318
منطقة الجوف,الأنشطة الإيجارية,535,67,46,21,1249,1235,14,1316
منطقة المدينة المنورة,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,443,261,148,113,1053,982,71,1314
منطقة الرياض,الرعاية مع الإقامة,52,922,200,722,391,242,149,1313
منطقة عسير,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,35,224,127,97,1086,1080,6,1310
منطقة تبوك,صُنع المواد الكيميائية والمنتجات الكيميائية,32,530,316,214,770,766,4,1300
منطقة جازان,إصلاح وتركيب الآلات والمعدات,435,80,45,35,1208,1207,1,1288
منطقة عسير,صُنع الورق ومنتجات الورق,25,475,279,196,808,786,22,1283
منطقة عسير,الأنشطة العقارية,395,382,185,197,894,878,16,1276
منطقة الباحة,أنشطة الخدمات الشخصية الأخرى,565,79,33,46,1195,1098,97,1274
منطقة القصيم,صُنع الورق ومنتجات الورق,50,265,133,132,998,994,4,1263
منطقة الجوف,صُنع المنتجات الغذائية,252,215,133,82,1046,1044,2,1261
منطقة القصيم,الإقامة,172,356,235,121,894,884,10,1250
منطقة الباحة,صنع منتجات المعادن اللافلزية الأخرى,76,328,165,163,918,912,6,1246
منطقة مكة المكرمة,صنع الحواسيب والمنتجات الإلكترونية والبصرية,139,356,210,146,881,874,7,1237
منطقة نجران,صُنع الملبوسات,444,82,34,48,1155,1091,64,1237
منطقة حائل,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),280,192,73,119,1038,1035,3,1230
منطقة جازان,أنشطة تقديم الخدمات للمباني وتجميل المواقع,284,163,91,72,1063,1039,24,1226
منطقة جازان,صيد الأسماك وتربية المائيات,221,94,53,41,1125,1118,7,1219
منطقة تبوك,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),298,151,88,63,1067,1065,2,1218
المنطقة الشرقية,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,39,472,313,159,728,701,27,1200
منطقة المدينة المنورة,صُنع المنسوجات,163,217,140,77,976,963,13,1193
منطقة الرياض,النقل المائي,164,469,316,153,710,692,18,1179
منطقة نجران,التعليم,148,582,167,415,597,553,44,1179
منطقة مكة المكرمة,النقل المائي,201,442,261,181,736,722,14,1178
منطقة الحدود الشمالية,صنع منتجات المعادن اللافلزية الأخرى,63,345,258,87,832,828,4,1177
منطقة الرياض,البحث والتطوير في المجال العلمي,128,651,365,286,523,438,85,1174
منطقة نجران,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),366,94,33,61,1075,1075,0,1169
منطقة المدينة المنورة,صنع الأثاث,331,106,56,50,1038,1025,13,1144
منطقة عسير,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,299,295,163,132,845,839,6,1140
منطقة جازان,صُنع المشروبات,33,286,176,110,850,850,0,1136
منطقة حائل,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,280,173,96,77,963,959,4,1136
منطقة عسير,الأنشطة الرياضية وأنشطة التسلية والترفيه,231,369,103,266,766,676,90,1135
منطقة الرياض,الأنشطة البيطرية,153,321,117,204,782,692,90,1103
منطقة الجوف,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),348,84,42,42,1001,999,2,1085
منطقة عسير,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,323,122,56,66,960,956,4,1082
منطقة المدينة المنورة,أنشطة الاستخدام,136,143,78,65,934,261,673,1077
منطقة عسير,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,354,327,137,190,748,741,7,1075
منطقة الحدود الشمالية,الصحة البشرية,67,345,77,268,727,383,344,1072
منطقة تبوك,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,130,337,192,145,732,724,8,1069
منطقة نجران,صُنع المنتجات الغذائية,224,188,88,100,852,844,8,1040
منطقة المدينة المنورة,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,230,159,83,76,865,865,0,1024
منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,255,18,6,12,1003,998,5,1021
المنطقة الشرقية,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,11,265,234,31,756,752,4,1021
منطقة القصيم,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,332,140,76,64,866,859,7,1006
منطقة الجوف,أنشطة تقديم الخدمات للمباني وتجميل المواقع,156,123,79,44,830,812,18,953
المنطقة الشرقية,الأنشطة المهنية والعلمية والتقنية الأخرى,247,332,123,209,620,536,84,952
منطقة مكة المكرمة,أنشطة النشر,165,306,162,144,641,619,22,947
منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,249,356,176,180,587,524,63,943
منطقة مكة المكرمة,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,159,504,274,230,435,418,17,939
منطقة القصيم,صنع الفلزات القاعدية,81,183,113,70,755,753,2,938
منطقة المدينة المنورة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,382,49,30,19,885,869,16,934
منطقة مكة المكرمة,الرعاية مع الإقامة,37,597,117,480,329,217,112,926
منطقة جازان,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,242,84,25,59,836,830,6,920
منطقة جازان,التخزين وأنشطة الدعم للنقل,205,155,115,40,760,755,5,915
منطقة نجران,الصرف الصحي,15,227,182,45,682,682,0,909
منطقة القصيم,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,35,367,326,41,528,526,2,895
منطقة الجوف,الهندسة المدنية,56,179,138,41,715,700,15,894
منطقة حائل,أنشطة الاستخدام,71,91,36,55,797,201,596,888
منطقة نجران,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,197,139,90,49,749,748,1,888
المنطقة الشرقية,أنشطة المنظمات ذات العضوية,88,530,246,284,353,299,54,883
منطقة عسير,صُنع المشروبات,35,232,172,60,644,644,0,876
منطقة حائل,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,325,37,23,14,838,836,2,875
منطقة المدينة المنورة,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,49,255,113,142,613,610,3,868
منطقة تبوك,إصلاح وتركيب الآلات والمعدات,216,119,69,50,744,741,3,863
منطقة تبوك,صنع الأثاث,278,37,16,21,823,822,1,860
منطقة نجران,أنشطة الاستخدام,66,49,22,27,801,130,671,850
منطقة الحدود الشمالية,التعليم,53,470,229,241,376,309,67,846
منطقة نجران,صنع الفلزات القاعدية,34,275,246,29,565,563,2,840
منطقة جازان,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,307,35,18,17,788,782,6,823
منطقة تبوك,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,279,38,21,17,780,776,4,818
منطقة الباحة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),331,59,37,22,754,752,2,813
منطقة الباحة,الصحة البشرية,58,296,93,203,511,215,296,807
منطقة حائل,التخزين وأنشطة الدعم للنقل,224,61,35,26,745,744,1,806
منطقة المدينة المنورة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,221,272,137,135,532,511,21,804
منطقة القصيم,الأنشطة الرياضية وأنشطة التسلية والترفيه,140,300,106,194,503,458,45,803
منطقة المدينة المنورة,أبحاث الإعلان والسوق,277,154,85,69,641,618,23,795
منطقة القصيم,الأنشطة الأخرى للتعدين واستغلال المحاجر,45,97,67,30,686,686,0,783
منطقة جازان,صنع الفلزات القاعدية,35,313,281,32,470,470,0,783
المنطقة الشرقية,أنشطة خدمات المعلومات,58,523,257,266,257,244,13,780
المنطقة الشرقية,أنشطة النشر,96,336,205,131,431,425,6,767
منطقة المدينة المنورة,توصيل الكهرباء والغاز والبخار وتكييف الهواء,35,223,193,30,541,483,58,764
منطقة عسير,الصرف الصحي,36,138,96,42,623,623,0,761
منطقة القصيم,أبحاث الإعلان والسوق,217,201,75,126,559,554,5,760
منطقة جازان,أنشطة العمل الاجتماعي، دون إقامة,106,576,277,299,165,146,19,741
المنطقة الشرقية,الاتصالات,115,325,202,123,416,409,7,741
منطقة الجوف,صُنع الملبوسات,316,34,16,18,705,669,36,739
المنطقة الشرقية,تعدين ركازات الفلزات,39,589,579,10,150,150,0,739
منطقة عسير,أبحاث الإعلان والسوق,216,209,93,116,523,520,3,732
منطقة الحدود الشمالية,صُنع الملبوسات,280,12,1,11,712,666,46,724
منطقة نجران,أنشطة الأمن والتحقيقات,3,718,608,110,0,0,0,718
منطقة الحدود الشمالية,صُنع المواد الكيميائية والمنتجات الكيميائية,6,571,546,25,146,145,1,717
منطقة المدينة المنورة,الأنشطة القانونية وأنشطة المحاسبة,182,498,323,175,214,204,10,712
منطقة الباحة,الأنشطة الأخرى للتعدين واستغلال المحاجر,11,93,32,61,618,618,0,711
منطقة عسير,صنع الفلزات القاعدية,75,158,108,50,544,544,0,702
منطقة الرياض,أنشطة البرمجة والإذاعة,63,194,126,68,506,429,77,700
منطقة نجران,صنع الأثاث,132,91,19,72,605,605,0,696
منطقة الرياض,تعدين ركازات الفلزات,72,299,210,89,394,387,7,693
منطقة المدينة المنورة,الأنشطة الرياضية وأنشطة التسلية والترفيه,167,293,108,185,398,362,36,691
منطقة الرياض,الحراجة وقطع الأخشاب,50,122,67,55,565,561,4,687
منطقة الباحة,صُنع المنتجات الغذائية,145,92,48,44,584,583,1,676
منطقة جازان,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,159,219,127,92,449,438,11,668
منطقة المدينة المنورة,صنع المعدات الكهربائية,38,200,84,116,468,467,1,668
منطقة المدينة المنورة,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,49,357,266,91,305,289,16,662
منطقة تبوك,الصرف الصحي,15,136,116,20,518,514,4,654
منطقة الحدود الشمالية,صُنع المنتجات الغذائية,145,71,25,46,574,570,4,645
منطقة القصيم,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,23,174,116,58,467,467,0,641
منطقة عسير,تجميع المياه ومعالجتها وتوصيلها,181,79,39,40,559,556,3,638
منطقة حائل,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,262,63,20,43,571,566,5,634
منطقة جازان,الأنشطة الأخرى للتعدين واستغلال المحاجر,55,111,73,38,516,516,0,627
منطقة مكة المكرمة,تعدين ركازات الفلزات,55,375,338,37,250,244,6,625
منطقة حائل,صُنع المشروبات,12,192,67,125,425,422,3,617
منطقة نجران,الإقامة,132,131,62,69,483,481,2,614
منطقة نجران,تجميع المياه ومعالجتها وتوصيلها,41,101,36,65,508,500,8,609
منطقة الحدود الشمالية,أنشطة الاستخدام,28,22,6,16,586,50,536,608
منطقة الرياض,الأنشطة الإبداعية والفنون وأنشطة الترفيه,131,285,129,156,321,273,48,606
منطقة نجران,توصيل الكهرباء والغاز والبخار وتكييف الهواء,13,190,174,16,413,412,1,603
منطقة الباحة,أنشطة العمل الاجتماعي، دون إقامة,81,443,240,203,155,136,19,598
منطقة عسير,الأنشطة القانونية وأنشطة المحاسبة,121,361,240,121,237,234,3,598
منطقة الباحة,النقل البري و النقل عبر الأنابيب,188,37,21,16,558,556,2,595
منطقة تبوك,أنشطة الأمن والتحقيقات,6,586,535,51,9,9,0,595
