Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
4,أنشطة الخدمات الشخصية الأخرى,48497,17685,5108,12577,134110,112086,22024,151795,8
3,أنشطة الخدمات الشخصية الأخرى,46829,18140,5388,12752,129392,108653,20739,147532,7
2,أنشطة الخدمات الشخصية الأخرى,46365,18084,5405,12679,129382,108881,20501,147466,6
1,أنشطة الخدمات الشخصية الأخرى,46311,17476,5277,12199,129114,108825,20289,146590,5
2,التعليم,10274,75922,28438,47484,68089,58270,9819,144011,6
4,التخزين وأنشطة الدعم للنقل,10487,44921,29681,15240,92881,91659,1222,137802,8
2,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),14857,30643,19719,10924,102598,102350,248,133241,6
1,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),14772,29920,19497,10423,103270,103010,260,133190,5
4,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,19578,17628,11651,5977,114461,113786,675,132089,8
4,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),15313,30524,19079,11445,100801,100516,285,131325,8
3,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),15021,30236,18856,11380,100620,100361,259,130856,7
3,التخزين وأنشطة الدعم للنقل,8900,43598,30290,13308,82444,81630,814,126042,7
3,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,19890,16646,11172,5474,108554,108040,514,125200,7
3,إصلاح وتركيب الآلات والمعدات,6733,46504,35644,10860,73625,72183,1442,120129,7
2,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,20147,12965,8704,4261,102428,102024,404,115393,6
2,التخزين وأنشطة الدعم للنقل,7369,40696,29170,11526,74594,74034,560,115290,6
1,التخزين وأنشطة الدعم للنقل,6851,40121,29171,10950,73097,72597,500,113218,5
1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,20880,12207,8121,4086,99020,98643,377,111227,5
2,إصلاح وتركيب الآلات والمعدات,6204,33651,24922,8729,67175,65905,1270,100826,6
4,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,10233,34676,21911,12765,64776,63743,1033,99452,8
3,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,8127,34626,22230,12396,58779,57857,922,93405,7
4,صُنع المواد الكيميائية والمنتجات الكيميائية,2560,38293,29365,8928,54172,53830,342,92465,8
2,صُنع المواد الكيميائية والمنتجات الكيميائية,2414,37997,29558,8439,53323,53071,252,91320,6
3,صُنع المواد الكيميائية والمنتجات الكيميائية,2481,37733,29195,8538,53192,52907,285,90925,7
2,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,8027,33947,22053,11894,56617,55799,818,90564,6
1,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,7904,33456,22094,11362,56024,55256,768,89480,5
1,صُنع المواد الكيميائية والمنتجات الكيميائية,2391,34801,27400,7401,51562,51344,218,86363,5
4,استخراج النفط الخام والغاز الطبيعي,100,69336,64764,4572,8986,8322,664,78322,8
3,استخراج النفط الخام والغاز الطبيعي,104,68833,64445,4388,8992,8348,644,77825,7
2,استخراج النفط الخام والغاز الطبيعي,113,68128,63960,4168,8828,8192,636,76956,6
3,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,839,11771,7299,4472,64865,61214,3651,76636,7
1,استخراج النفط الخام والغاز الطبيعي,117,67614,63577,4037,8756,8121,635,76370,5
1,إصلاح وتركيب الآلات والمعدات,5880,24104,18367,5737,51396,51034,362,75500,5
2,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,675,11389,6969,4420,62649,59301,3348,74038,6
4,الإقامة,6440,26422,15806,10616,45506,44626,880,71928,8
1,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,598,11209,6890,4319,59477,56318,3159,70686,5
3,الإقامة,6309,26627,15976,10651,43861,42940,921,70488,7
2,الإقامة,6161,26241,15806,10435,44037,43120,917,70278,6
1,الإقامة,6052,25993,15866,10127,44203,43291,912,70196,5
1,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,8197,2905,1683,1222,59812,59555,257,62717,5
4,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,948,8809,5194,3615,52534,50159,2375,61343,8
4,صُنع الملبوسات,16595,8062,2663,5399,52188,48980,3208,60250,8
2,صُنع الملبوسات,16352,7951,2599,5352,51743,48104,3639,59694,6
3,صُنع الملبوسات,16394,7849,2592,5257,51140,47804,3336,58989,7
1,صُنع الملبوسات,16370,7333,2405,4928,51592,47795,3797,58925,5
2,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,8073,2530,1403,1127,54754,54514,240,57284,6
1,الأنشطة العقارية,8078,23829,14993,8836,33372,32692,680,57201,5
1,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,3754,31539,18536,13003,25496,24402,1094,57035,5
2,الأنشطة العقارية,8171,23519,14932,8587,32787,32088,699,56306,6
3,الأنشطة العقارية,8400,23201,14564,8637,32126,31340,786,55327,7
4,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,4046,29155,15293,13862,25355,24052,1303,54510,8
3,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,7989,2469,1390,1079,50539,50301,238,53008,7
4,الأنشطة العقارية,8548,21692,13779,7913,31314,30560,754,53006,8
4,أنشطة خدمات دعم التعدين,385,35387,33274,2113,17286,17205,81,52673,8
2,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,3808,28634,16551,12083,23165,22060,1105,51799,6
3,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,3872,27648,15517,12131,23339,22182,1157,50987,7
1,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,7467,21601,11423,10178,29265,27799,1466,50866,5
3,أنشطة خدمات دعم التعدين,347,33904,32036,1868,16011,15950,61,49915,7
1,صنع الأثاث,6150,8245,3594,4651,41311,41160,151,49556,5
4,صنع الفلزات القاعدية,1540,14737,10136,4601,34757,34660,97,49494,8
4,صنع الأثاث,6275,9104,3721,5383,40277,40091,186,49381,8
2,صنع الأثاث,6113,8729,3730,4999,40630,40466,164,49359,6
3,صنع الأثاث,6174,9001,3778,5223,40295,40126,169,49296,7
4,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,8023,2354,1323,1031,46824,46604,220,49178,8
3,صنع الفلزات القاعدية,1571,14372,9939,4433,34422,34281,141,48794,7
4,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,5015,10167,4659,5508,38298,38095,203,48465,8
4,صنع منتجات المطاط واللدائن,1714,12137,6859,5278,35934,35754,180,48071,8
2,أنشطة خدمات دعم التعدين,334,32747,30922,1825,15008,14961,47,47755,6
2,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,7543,19880,10810,9070,27551,26280,1271,47431,6
2,صنع الفلزات القاعدية,1576,13487,9434,4053,33788,33695,93,47275,6
4,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,7867,19723,10862,8861,27012,25758,1254,46735,8
1,صنع الفلزات القاعدية,1588,12866,9098,3768,33745,33657,88,46611,5
3,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,7566,19774,10715,9059,26759,25477,1282,46533,7
1,أنشطة خدمات دعم التعدين,333,31739,30020,1719,14788,14745,43,46527,5
1,أبحاث الإعلان والسوق,6697,21253,12436,8817,24870,23424,1446,46123,5
3,أبحاث الإعلان والسوق,6897,21516,12383,9133,24121,22621,1500,45637,7
2,أبحاث الإعلان والسوق,6760,21345,12326,9019,24289,22833,1456,45634,6
4,أنشطة الأمن والتحقيقات,507,44409,40477,3932,1136,1118,18,45545,8
3,صنع منتجات المطاط واللدائن,1501,11393,6432,4961,34032,33872,160,45425,7
3,أنشطة الأمن والتحقيقات,513,43113,39081,4032,1118,1095,23,44231,7
4,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,1585,34444,25631,8813,9715,9306,409,44159,8
4,أبحاث الإعلان والسوق,6965,20331,12082,8249,23747,22150,1597,44078,8
3,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,1613,34275,25699,8576,9626,9217,409,43901,7
1,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,1653,33957,25845,8112,9748,9413,335,43705,5
2,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,1620,34026,25737,8289,9497,9120,377,43523,6
2,صنع منتجات المطاط واللدائن,1186,10746,6236,4510,32098,32011,87,42844,6
2,أنشطة الأمن والتحقيقات,517,39743,35963,3780,1404,1379,25,41147,6
1,صنع منتجات المطاط واللدائن,1026,10048,5972,4076,30571,30489,82,40619,5
4,أنشطة العمل الاجتماعي، دون إقامة,5205,24751,8829,15922,15591,13692,1899,40342,8
4,توصيل الكهرباء والغاز والبخار وتكييف الهواء,673,31688,30401,1287,8395,8334,61,40083,8
1,أنشطة الأمن والتحقيقات,516,38107,34605,3502,1448,1424,24,39555,5
3,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,4577,8181,3815,4366,31241,31100,141,39422,7
1,توصيل الكهرباء والغاز والبخار وتكييف الهواء,553,32442,31460,982,6308,6294,14,38750,5
4,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,646,34452,25570,8882,4208,3989,219,38660,8
2,توصيل الكهرباء والغاز والبخار وتكييف الهواء,584,31882,30929,953,6362,6346,16,38244,6
3,توصيل الكهرباء والغاز والبخار وتكييف الهواء,609,31434,30359,1075,6673,6647,26,38107,7
3,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,639,33817,25164,8653,4262,4056,206,38079,7
2,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,646,33468,24938,8530,4202,4016,186,37670,6
1,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,632,32789,24582,8207,4290,4115,175,37079,5
3,أنشطة العمل الاجتماعي، دون إقامة,3907,24560,8872,15688,11712,9971,1741,36272,7
2,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,4384,6871,3050,3821,28412,28230,182,35283,6
3,تجميع المياه ومعالجتها وتوصيلها,1625,8117,5340,2777,26294,24150,2144,34411,7
4,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,1978,21561,12128,9433,12575,11642,933,34136,8
4,الأنشطة الأخرى للتعدين واستغلال المحاجر,1368,8087,5702,2385,26028,25981,47,34115,8
1,أنشطة العمل الاجتماعي، دون إقامة,2996,23250,8658,14592,10217,8607,1610,33467,5
4,صُنع المشروبات,641,9505,5261,4244,23451,23398,53,32956,8
2,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,1660,21044,11306,9738,11260,10392,868,32304,6
3,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,1799,20705,11514,9191,11490,10645,845,32195,7
1,الاتصالات,1157,23705,17586,6119,7684,7492,192,31389,5
4,الصرف الصحي,651,5849,3992,1857,25291,24982,309,31140,8
3,صُنع المشروبات,624,8882,4960,3922,22250,22202,48,31132,7
2,الاتصالات,1142,23191,17210,5981,7570,7370,200,30761,6
2,أنشطة العمل الاجتماعي، دون إقامة,2978,20710,8378,12332,10034,8431,1603,30744,6
2,صُنع المشروبات,601,8430,4851,3579,21723,21680,43,30153,6
1,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,1582,19084,10835,8249,10525,9857,668,29609,5
4,الأنشطة القانونية وأنشطة المحاسبة,4725,17274,10470,6804,12281,11736,545,29555,8
2,الأنشطة الأخرى للتعدين واستغلال المحاجر,1267,7370,5235,2135,21928,21824,104,29298,6
1,صُنع المشروبات,592,7925,4629,3296,20844,20806,38,28769,5
1,الصناعة التحويلية الأخرى,1163,7238,4390,2848,21470,21143,327,28708,5
3,الأنشطة الأخرى للتعدين واستغلال المحاجر,1310,6711,4668,2043,21783,21742,41,28494,7
2,الصناعة التحويلية الأخرى,1174,7395,4392,3003,21024,20642,382,28419,6
3,الأنشطة القانونية وأنشطة المحاسبة,4454,16463,10039,6424,11828,11334,494,28291,7
3,الصناعة التحويلية الأخرى,1211,7364,4262,3102,20685,20362,323,28049,7
1,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,4311,4798,2225,2573,22814,22655,159,27612,5
4,صنع المعدات الكهربائية,967,9163,6617,2546,18285,18132,153,27448,8
1,الأنشطة الرياضية وأنشطة التسلية والترفيه,3321,10263,4156,6107,17165,14977,2188,27428,5
2,الأنشطة القانونية وأنشطة المحاسبة,4308,15674,9572,6102,11619,11155,464,27293,6
4,الصناعة التحويلية الأخرى,1223,7080,4038,3042,20028,19634,394,27108,8
3,صنع المعدات الكهربائية,954,8831,6374,2457,18115,17990,125,26946,7
1,الأنشطة القانونية وأنشطة المحاسبة,4197,15163,9224,5939,11668,11201,467,26831,5
2,صنع المعدات الكهربائية,948,8627,6389,2238,17981,17877,104,26608,6
2,الأنشطة الرياضية وأنشطة التسلية والترفيه,3361,9934,3987,5947,16476,14352,2124,26410,6
4,صُنع الورق ومنتجات الورق,831,7150,3942,3208,18664,18552,112,25814,8
1,صنع المعدات الكهربائية,946,7692,5866,1826,18076,18023,53,25768,5
3,الأنشطة الرياضية وأنشطة التسلية والترفيه,3411,9590,3850,5740,16039,13915,2124,25629,7
4,الأنشطة الرياضية وأنشطة التسلية والترفيه,3472,9393,3747,5646,15681,13463,2218,25074,8
3,صُنع الورق ومنتجات الورق,796,6807,3816,2991,17753,17647,106,24560,7
2,صُنع الورق ومنتجات الورق,743,6510,3673,2837,17420,17330,90,23930,6
4,تجميع المياه ومعالجتها وتوصيلها,1779,6265,4490,1775,17549,17438,111,23814,8
4,صناعة الآلات والمعدات غير المصنفة في موضع أخر,895,7481,5528,1953,15650,15596,54,23131,8
1,صُنع الورق ومنتجات الورق,719,6075,3527,2548,17027,16943,84,23102,5
3,الصرف الصحي,553,3570,2431,1139,19337,19292,45,22907,7
2,صناعة الآلات والمعدات غير المصنفة في موضع أخر,879,7225,5427,1798,15397,15348,49,22622,6
3,صناعة الآلات والمعدات غير المصنفة في موضع أخر,892,7231,5344,1887,15305,15258,47,22536,7
1,صناعة الآلات والمعدات غير المصنفة في موضع أخر,875,6895,5248,1647,15293,15250,43,22188,5
4,صُنع المنسوجات,2807,4375,2444,1931,17514,17372,142,21889,8
2,أنشطة خدمات المعلومات,747,11833,6275,5558,8800,8478,322,20633,6
3,أنشطة خدمات المعلومات,736,12051,6432,5619,8521,8194,327,20572,7
1,الأنشطة الأخرى للتعدين واستغلال المحاجر,1225,5475,3826,1649,15061,15034,27,20536,5
2,الصرف الصحي,494,3311,2384,927,17206,17165,41,20517,6
3,صُنع المنسوجات,2531,4283,2441,1842,16105,15976,129,20388,7
1,أنشطة خدمات المعلومات,762,11839,6269,5570,7910,7598,312,19749,5
4,صنع فحم الكوك والمنتجات النفطية المكررة,231,11874,11010,864,7625,7589,36,19499,8
3,الاتصالات,1144,12684,7793,4891,6530,6329,201,19214,7
2,تجميع المياه ومعالجتها وتوصيلها,1513,5694,4160,1534,13314,13281,33,19008,6
3,صنع فحم الكوك والمنتجات النفطية المكررة,220,11682,10930,752,7316,7284,32,18998,7
2,صُنع المنسوجات,2244,3891,2352,1539,14918,14796,122,18809,6
4,الاتصالات,1144,12443,7724,4719,6108,5914,194,18551,8
1,صُنع المنسوجات,2109,3672,2303,1369,14789,14672,117,18461,5
2,صنع فحم الكوك والمنتجات النفطية المكررة,206,11300,10675,625,6781,6752,29,18081,6
1,صنع فحم الكوك والمنتجات النفطية المكررة,204,11233,10696,537,6745,6716,29,17978,5
1,الصرف الصحي,454,2934,2177,757,14905,14873,32,17839,5
2,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,2385,8033,4376,3657,9801,9588,213,17834,6
1,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,25,1477,1182,295,15011,14681,330,16488,5
3,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,2447,6456,3434,3022,9798,9579,219,16254,7
2,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,25,1372,1100,272,14879,14556,323,16251,6
4,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,37,1400,1118,282,14520,14222,298,15920,8
3,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,31,1332,1049,283,14539,14232,307,15871,7
4,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,2527,6036,3115,2921,9759,9502,257,15795,8
1,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,637,4700,3075,1625,11035,10929,106,15735,5
2,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,638,4668,3032,1636,10604,10505,99,15272,6
3,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,699,4665,2916,1749,10594,10489,105,15259,7
1,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,2258,5653,3140,2513,9577,9397,180,15230,5
4,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,745,4478,2858,1620,10547,10437,110,15025,8
4,أنشطة خدمات المعلومات,714,7490,3900,3590,6641,6349,292,14131,8
3,النقل الجوي,524,9118,8058,1060,3711,2905,806,12829,7
1,تجميع المياه ومعالجتها وتوصيلها,1472,4627,3825,802,8105,8087,18,12732,5
2,النقل الجوي,523,8947,7892,1055,3676,2878,798,12623,6
1,النقل الجوي,530,8690,7683,1007,3754,2958,796,12444,5
4,الطباعة واستنساخ وسائط الأعلام المسجّلة,1184,4664,2245,2419,7398,7314,84,12062,8
4,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,380,3598,2181,1417,8222,8205,17,11820,8
4,أنشطة المنظمات ذات العضوية,3038,3390,1824,1566,7726,7560,166,11116,8
2,أنشطة المنظمات ذات العضوية,3036,3351,1864,1487,7347,7161,186,10698,6
3,أنشطة المنظمات ذات العضوية,3023,3395,1817,1578,7268,7086,182,10663,7
1,أنشطة المنظمات ذات العضوية,3083,3041,1612,1429,7390,7200,190,10431,5
3,الطباعة واستنساخ وسائط الأعلام المسجّلة,1121,3111,1446,1665,7058,6993,65,10169,7
1,الطباعة واستنساخ وسائط الأعلام المسجّلة,1090,3164,1501,1663,6863,6805,58,10027,5
2,الطباعة واستنساخ وسائط الأعلام المسجّلة,1085,3072,1449,1623,6903,6846,57,9975,6
1,الأنشطة المهنية والعلمية والتقنية الأخرى,1982,3706,1889,1817,6258,5585,673,9964,5
3,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,362,2907,1665,1242,7033,7017,16,9940,7
4,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,879,2855,1682,1173,6869,6697,172,9724,8
4,النقل الجوي,507,7353,6439,914,2253,2065,188,9606,8
2,الأنشطة المهنية والعلمية والتقنية الأخرى,1986,3494,1774,1720,5969,5325,644,9463,6
2,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,353,2589,1527,1062,6796,6781,15,9385,6
4,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,92,7089,4359,2730,2241,2083,158,9330,8
3,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,714,2925,1749,1176,6399,6251,148,9324,7
1,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,449,3131,1797,1334,6174,6027,147,9305,5
4,صناعة معدات النقل الأخرى,177,5918,5518,400,3316,3264,52,9234,8
3,الأنشطة المهنية والعلمية والتقنية الأخرى,2031,3398,1642,1756,5815,5175,640,9213,7
3,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,93,6988,4363,2625,2210,2059,151,9198,7
4,صيد الأسماك وتربية المائيات,1708,790,514,276,8339,8306,33,9129,8
1,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,336,2282,1471,811,6788,6773,15,9070,5
1,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,96,6819,4302,2517,2219,2074,145,9038,5
2,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,98,6852,4326,2526,2184,2046,138,9036,6
3,صيد الأسماك وتربية المائيات,1585,719,435,284,8254,8231,23,8973,7
4,أنشطة النشر,720,4659,2691,1968,4253,4070,183,8912,8
2,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,535,2801,1685,1116,5800,5666,134,8601,6
4,الأنشطة المهنية والعلمية والتقنية الأخرى,2019,2937,1291,1646,5456,4815,641,8393,8
3,أنشطة النشر,659,4289,1783,2506,3949,3723,226,8238,7
