Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
4,تشييد المباني,136117,205908,118890,87018,1401688,1386895,14793,1607596,8
3,تشييد المباني,128751,190180,107561,82619,1316365,1305157,11208,1506545,7
2,تشييد المباني,127448,179803,101709,78094,1289418,1279648,9770,1469221,6
1,تشييد المباني,127501,169686,94889,74797,1244531,1235372,9159,1414217,5
1,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,160177,230179,113681,116498,643241,634889,8352,873420,5
2,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,159772,220873,106568,114305,625830,616667,9163,846703,6
4,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,167982,203707,95841,107866,625810,613804,12006,829517,8
3,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,160627,213037,101554,111483,615849,605325,10524,828886,7
1,أنشطة التشييد المتخصصة,58133,111003,71535,39468,547115,542567,4548,658118,5
3,أنشطة التشييد المتخصصة,59373,111870,71749,40121,534963,528991,5972,646833,7
4,أنشطة التشييد المتخصصة,61468,102915,63724,39191,535408,530393,5015,638323,8
2,أنشطة التشييد المتخصصة,58264,107782,69830,37952,528699,523926,4773,636481,6
1,أنشطة خدمات الأطعمة والمشروبات,91011,124853,62835,62018,498537,493669,4868,623390,5
2,أنشطة خدمات الأطعمة والمشروبات,90673,125021,62155,62866,491729,486703,5026,616750,6
3,أنشطة خدمات الأطعمة والمشروبات,91071,125281,61593,63688,487593,482408,5185,612874,7
4,أنشطة خدمات الأطعمة والمشروبات,92978,121261,58891,62370,484621,479411,5210,605882,8
1,أنشطة تقديم الخدمات للمباني وتجميل المواقع,15818,104910,61473,43437,476565,456827,19738,581475,5
2,أنشطة تقديم الخدمات للمباني وتجميل المواقع,15604,98042,56565,41477,450707,431608,19099,548749,6
3,أنشطة تقديم الخدمات للمباني وتجميل المواقع,15338,91526,52114,39412,421198,404992,16206,512724,7
4,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,68472,154516,80391,74125,348626,343030,5596,503142,8
4,أنشطة تقديم الخدمات للمباني وتجميل المواقع,15095,87075,49328,37747,412414,396279,16135,499489,8
2,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,67738,152025,81757,70268,346618,342267,4351,498643,6
3,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,67772,154169,81733,72436,344436,339753,4683,498605,7
1,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,68303,146810,79561,67249,348201,343940,4261,495011,5
1,الهندسة المدنية,6157,85512,60439,25073,384791,383485,1306,470303,5
3,الهندسة المدنية,6314,79873,55559,24314,352529,350854,1675,432402,7
4,الهندسة المدنية,6704,82904,58466,24438,349137,347093,2044,432041,8
2,الهندسة المدنية,6202,78788,54800,23988,352108,350650,1458,430896,6
2,صيد الأسماك وتربية المائيات,135363,8960,4426,4534,414932,412118,2814,423892,6
1,صيد الأسماك وتربية المائيات,131727,11684,5807,5877,395686,392992,2694,407370,5
4,النقل البري و النقل عبر الأنابيب,39860,71552,46757,24795,272809,271463,1346,344361,8
3,النقل البري و النقل عبر الأنابيب,36999,71616,47816,23800,258078,257068,1010,329694,7
4,أنشطة الاستخدام,2776,16762,4742,12020,307576,195625,111951,324338,8
2,النقل البري و النقل عبر الأنابيب,33507,68957,47099,21858,248471,247737,734,317428,6
2,أنشطة الاستخدام,2536,17012,4635,12377,295899,185378,110521,312911,6
1,أنشطة الاستخدام,2489,16670,4519,12151,296205,184636,111569,312875,5
3,أنشطة الاستخدام,2627,15890,4657,11233,294668,186881,107787,310558,7
1,النقل البري و النقل عبر الأنابيب,32525,65305,44785,20520,244589,243929,660,309894,5
4,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,64646,50297,33110,17187,242460,241610,850,292757,8
3,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,63210,49541,32534,17007,236852,236115,737,286393,7
2,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,62680,48346,32018,16328,236532,235856,676,284878,6
1,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,62561,46505,31473,15032,236990,236341,649,283495,5
1,الصحة البشرية,5646,80539,26030,54509,184111,108514,75597,264650,5
2,الصحة البشرية,5693,80793,25945,54848,176576,102186,74390,257369,6
3,الصحة البشرية,5752,82011,26268,55743,172048,97533,74515,254059,7
4,الصحة البشرية,5824,80820,25748,55072,166109,91584,74525,246929,8
1,الأنشطة الإيجارية,64307,15804,10370,5434,185908,184994,914,201712,5
4,صُنع المنتجات الغذائية,10836,46246,24655,21591,151208,149923,1285,197454,8
2,الأنشطة الإيجارية,62906,15436,10233,5203,180133,179237,896,195569,6
3,الأنشطة الإيجارية,61155,15362,9965,5397,174903,173989,914,190265,7
3,صُنع المنتجات الغذائية,10124,43129,23210,19919,144444,143261,1183,187573,7
1,صنع منتجات المعادن اللافلزية الأخرى,7512,38087,23922,14165,148404,148003,401,186491,5
4,الأنشطة الإيجارية,59689,14057,9070,4987,171495,170529,966,185552,8
2,صنع منتجات المعادن اللافلزية الأخرى,7479,39441,24236,15205,142489,142076,413,181930,6
4,صنع منتجات المعادن اللافلزية الأخرى,7602,40830,24416,16414,136887,136366,521,177717,8
3,صنع منتجات المعادن اللافلزية الأخرى,7494,40438,24539,15899,137101,136687,414,177539,7
4,إصلاح وتركيب الآلات والمعدات,7603,66287,49509,16778,109879,103739,6140,176166,8
2,صُنع المنتجات الغذائية,9681,39463,21480,17983,133938,132854,1084,173401,6
1,صُنع المنتجات الغذائية,9428,37845,20849,16996,131845,130828,1017,169690,5
4,التعليم,11949,86833,30119,56714,77339,66056,11283,164172,8
3,التعليم,11388,85733,29971,55762,72171,61880,10291,157904,7
1,التعليم,10085,85482,30437,55045,68451,58432,10019,153933,5
