Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees
صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,1322,7901,5485,2416,26671,26610,61,34572
تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,343,24564,15702,8862,7840,7302,538,32404
أنشطة المعالجة وخدمات إدارة النفايات الأخرى,79,5993,4564,1429,26410,25716,694,32403
صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,1220,11029,6317,4712,20959,20437,522,31988
صناعة معدات النقل الأخرى,769,16266,15402,864,11401,11377,24,27667
أنشطة النشر,2133,10354,4801,5553,16839,16343,496,27193
النقل المائي,1845,7618,5530,2088,8870,8712,158,16488
صُنع المنتجات الجلدية والمنتجات ذات الصلة,1136,1921,805,1116,10288,10265,23,12209
صنع الحواسيب والمنتجات الإلكترونية والبصرية,2096,2689,1853,836,9517,9436,81,12206
الرعاية مع الإقامة,565,7793,1208,6585,3217,1958,1259,11010
البحث والتطوير في المجال العلمي,887,6507,4840,1667,4261,4048,213,10768
تعدين ركازات الفلزات,1149,3508,3038,470,4765,4746,19,8273
الأنشطة الإبداعية والفنون وأنشطة الترفيه,1188,2617,1479,1138,5594,5375,219,8211
الأنشطة البيطرية,1336,2444,1196,1248,5673,5274,399,8117
أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,1037,929,565,364,3009,2972,37,3938
أنشطة البرمجة والإذاعة,559,1437,798,639,2396,2308,88,3833
تعدين الفحم والليغنيت,143,103,69,34,528,527,1,631
أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,145,22,15,7,274,264,10,296
الحراجة وقطع الأخشاب,58,23,9,14,129,129,0,152
الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,33,3,0,3,99,93,6,102
